scrip_code,symbol,name,sector,industry,market_cap
10634,ASAL,AUTOMOTIVE STAMPINGS & AS,,,
15058,AVALON,AVALON TECHNOLOGIES LTD,,,
24610,AVANTEL,AVANTEL LIMITED,,,
7936,AVANTIFEED,AVANTI FEEDS LIMITED,,,
19913,DMART,AVENUE SUPERMARTS LIMITED,,,
15589,AVG,AVG LOGISTICS LIMITED,,,
14008,AVTNPL,AVT NATURAL PRODUCTS LTD,,,
23864,AWFIS,AWFIS SPACE SOLUTIONS LTD,,,
8110,AWL,AWL AGRI BUSINESS LIMITED,,,
5900,AXISBANK,AXIS BANK LIMITED,,,
20532,AXISGOLD,AXIS MF - AXIS GOLD ETF,,,
11193,AXISILVER,AXISAMC - AXISILVER,,,
21252,AXISNIFTY,AXISAMC - AXISNIFTY,,,
9436,AXISCADES,AXISCADES TECH LTD,,,
523850,AXTEL,AXTEL INDUSTRIES LTD.,,,
760981,AYE,AYE FINANCE LIMITED,,,
20905,AZAD,AZAD ENGINEERING LIMITED,,,
538812,AANCHALISP,Aanchal Ispat Limited,,,
544694,ANL,Accretion Nutraveda Limited,,,
544224,AFCOM,Afcom Holdings Limited,,,
543225,ALTIUSINVIT,Altius Telecom Infrastructure,,,
519471,AMBARPIL,Ambar Protein Industries Limit,,,
544037,AMIC,Amic Forging Limited,,,
542721,ARL,Anand Rayons Limited,,,
526443,AEIM,Artificial Electronics Intelli,,,
544177,AZTEC,Aztec Fluids & Machinery Limit,,,
13290,BLKASHYAP,B.L.KASHYAP & SON LTD,,,
544670,BAIKAKAJI,BAI-KAKAJI POLYMERS LIMITED,,,
16669,BAJAJ-AUTO,BAJAJ AUTO LIMITED,,,
19531,BAJAJCON,BAJAJ CONSUMER CARE LTD,,,
15034,BAJAJELEC,BAJAJ ELECT.LTD,,,
317,BAJFINANCE,BAJAJ FINANCE LIMITED,,,
16675,BAJAJFINSV,BAJAJ FINSERV LTD.,,,
6863,BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,,,
305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,,,
25270,BAJAJHFL,BAJAJ HOUSING FINANCE LTD,,,
762563,BAJAJST,BAJAJ STEEL INDS. LTD.,,,
20531,BAJEL,BAJEL PROJECTS LIMITED,,,
13441,BALPHARMA,BAL PHARMA LTD.,,,
14501,BALAMINES,BALAJI AMINES LIMITED,,,
9158,BALAJITELE,BALAJI TELEFILMS LIMITED.,,,
335,BALKRISIND,BALKRISHNA IND. LTD,,,
338,BALMLAWRIE,BALMER LAWRIE & CO LTD,,,
762603,BLIL,BALMER LAWRIE INVSTS. L,,,
341,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,,,
23607,BALUFORGE,BALU FORGE INDUSTRIES LTD,,,
